City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
578,Ende,ID,78.42,overcast clouds,-8.8432,121.6623,Dwi Putra Hotel - Ende
579,Caravelas,BR,85.64,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
586,Celestun,MX,75.11,light rain,20.8667,-90.4,Posada Lilia
587,Inhambane,MZ,84.18,scattered clouds,-23.865,35.3833,Oceano
589,Loubomo,CG,75.31,light rain,-4.1997,12.6739,La Dolisienne
600,Posse,BR,80.37,heavy intensity rain,-14.0931,-46.3694,Pousada das Palmeiras
602,Chimoio,MZ,80.46,scattered clouds,-19.1164,33.4833,Residencial Dabhad
604,Buchanan,LR,82.76,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
606,Axim,GH,83.71,clear sky,4.8699,-2.2405,Axim Beach Resort And Spa
609,Mercedes,AR,87.94,scattered clouds,-34.6515,-59.4307,Posada del Inti Centro
611,Cavalcante,BR,79.61,light rain,-13.7975,-47.4583,Pousada Vila dos Ipês
612,Biltine,TD,75.87,clear sky,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
613,Roebourne,AU,88.36,clear sky,-20.7833,117.1333,Latitude20 Roebourne Village
623,Nacala,MZ,79.02,overcast clouds,-14.5428,40.6728,Nacala Plaza Business Design Hotel
625,Lamu,KE,80.82,clear sky,-2.2717,40.902,Lamu House
626,Katherine,AU,79.12,scattered clouds,-14.4667,132.2667,Pine Tree Motel
628,Vao,NC,76.23,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
630,Garowe,SO,75.22,scattered clouds,8.4054,48.4845,Sacaada Hotel
633,Esmeraldas,BR,85.24,overcast clouds,-19.7625,-44.3139,Forasteiro Pousada
634,Sa Kaeo,TH,77.02,broken clouds,13.75,102.3333,บ้านร่มฉัตร รีสอร์ท
635,Pangai,TO,81.64,overcast clouds,-19.8,-174.35,Ha'apai Beach Resort
637,Carutapera,BR,86.31,broken clouds,-1.195,-46.02,Lidera
643,Pitimbu,BR,88.39,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
