City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
96,Inongo,CD,2023-01-13 03:54:31,-1.95,18.2667,70.5,88,100,3.49
97,Nanortalik,GL,2023-01-13 03:54:31,60.1432,-45.2371,11.61,83,40,11.65
98,Korla,CN,2023-01-13 03:54:32,41.7597,86.1469,17.38,54,69,2.19
99,Vostok,RU,2023-01-13 03:54:32,46.4856,135.8833,28.29,93,100,7.25
100,Port Lincoln,AU,2023-01-13 03:54:33,-34.7333,135.8667,81.5,44,11,8.81
101,Vilhena,BR,2023-01-13 03:52:11,-12.7406,-60.1458,68.2,98,100,3.29
102,Tiruttani,IN,2023-01-13 03:54:03,13.177,79.6128,73.44,66,87,0.85
103,Semnan,IR,2023-01-13 03:54:34,35.5729,53.3971,22.62,52,1,0.92
104,Oktyabrskoye,RU,2023-01-13 03:54:34,43.0645,44.7417,-2.06,85,4,0.0
105,Severomorsk,RU,2023-01-13 03:54:35,69.0689,33.4162,36.0,85,100,19.89
106,Luderitz,NA,2023-01-13 03:54:35,-26.6481,15.1594,64.9,65,44,15.17
107,Chipinge,ZW,2023-01-13 03:54:36,-20.1883,32.6236,61.95,93,11,0.94
108,Serramanna,IT,2023-01-13 03:54:36,39.4244,8.9244,50.63,93,0,4.61
109,Christchurch,NZ,2023-01-13 03:52:01,-43.5333,172.6333,68.92,49,20,11.5
110,Ostrovnoy,RU,2023-01-13 03:54:36,68.0531,39.5131,30.45,87,99,25.28
111,Arlit,NE,2023-01-13 03:54:37,18.7369,7.3853,56.3,22,44,3.98
112,Netrakona,BD,2023-01-13 03:54:37,24.8833,90.7167,68.56,43,0,5.37
113,Thompson,CA,2023-01-13 03:54:38,55.7435,-97.8558,17.76,93,100,6.91
114,Antalaha,MG,2023-01-13 03:54:38,-14.9003,50.2788,76.17,87,94,3.76
115,Plettenberg Bay,ZA,2023-01-13 03:54:38,-34.0527,23.3716,65.86,71,8,4.94
116,Heinola,FI,2023-01-13 03:54:39,61.2056,26.0381,30.99,99,100,4.52
117,Kimbe,PG,2023-01-13 03:54:39,-5.5502,150.1429,84.36,74,97,5.37
118,Mujiayingzi,CN,2023-01-13 03:54:40,42.1167,118.7833,19.71,59,98,12.44
119,Melfi,IT,2023-01-13 03:54:40,40.9965,15.6514,43.48,82,39,4.59
120,Nyurba,RU,2023-01-13 03:54:40,63.2842,118.3319,-35.59,97,100,3.8
121,Anamur,TR,2023-01-13 03:54:41,36.0751,32.8369,53.91,53,99,18.79
122,Port Alfred,ZA,2023-01-13 03:54:41,-33.5906,26.891,69.19,85,48,4.0
123,Kapaa,US,2023-01-13 03:54:41,22.0752,-159.319,74.1,72,14,1.01
124,Tiruchchendur,IN,2023-01-13 03:54:42,8.4833,78.1167,75.49,67,44,13.8
125,Kavaratti,IN,2023-01-13 03:54:42,10.5669,72.642,80.6,66,86,12.93
126,Liverpool,GB,2023-01-13 03:52:02,53.4106,-2.9779,47.79,80,75,28.77
127,San Pedro De Macoris,DO,2023-01-13 03:54:43,18.4616,-69.2972,74.01,92,2,7.52
128,Codrington,AU,2023-01-13 03:54:43,-38.2667,141.9667,77.72,49,60,14.88
129,Longyearbyen,SJ,2023-01-13 03:54:44,78.2186,15.6401,30.04,74,75,12.66
130,Yar-Sale,RU,2023-01-13 03:54:44,66.8333,70.8333,-18.54,98,100,8.23
131,Gorontalo,ID,2023-01-13 03:54:44,0.5412,123.0595,88.86,55,95,3.98
132,Ravar,IR,2023-01-13 03:54:45,31.2656,56.8055,29.77,43,0,2.15
133,Yatou,CN,2023-01-13 03:54:45,37.15,122.3833,45.37,93,100,15.35
134,Cleveland,US,2023-01-13 03:49:57,41.4995,-81.6954,36.23,96,100,17.27
135,Pueblo Nuevo,MX,2023-01-13 03:54:46,23.3833,-105.3833,49.17,32,1,8.46
136,Bengkulu,ID,2023-01-13 03:54:46,-3.8004,102.2655,82.67,69,100,3.85
137,Buritis,BR,2023-01-13 03:54:46,-15.6178,-46.4233,71.13,93,100,1.63
138,Saint-Leu,RE,2023-01-13 03:54:47,-21.15,55.2833,81.46,67,43,3.2
139,Hasaki,JP,2023-01-13 03:54:47,35.7333,140.8333,57.6,56,27,6.35
140,Almeirim,BR,2023-01-13 03:54:48,-1.5233,-52.5817,72.79,95,33,3.15
141,Honningsvag,NO,2023-01-13 03:54:48,70.9821,25.9704,37.15,70,100,6.91
142,Alofi,NU,2023-01-13 03:54:48,-19.0595,-169.9187,85.89,66,75,10.36
143,Sitka,US,2023-01-13 03:54:49,57.0531,-135.33,38.66,82,100,4.47
144,Koulikoro,ML,2023-01-13 03:54:49,14.0,-7.75,63.82,21,0,9.51
145,High Level,CA,2023-01-13 03:54:49,58.5169,-117.136,17.71,100,100,4.61
146,Esperance,AU,2023-01-13 03:54:50,-33.8667,121.9,74.86,60,0,13.76
147,Lieksa,FI,2023-01-13 03:54:50,63.3167,30.0167,32.86,97,100,14.72
148,Barrow,US,2023-01-13 03:54:50,71.2906,-156.7887,-2.72,85,100,24.56
149,Vanavara,RU,2023-01-13 03:54:51,60.34,102.2797,-31.34,97,60,4.32
150,Grass Valley,US,2023-01-13 03:54:51,39.2191,-121.0611,50.38,83,0,4.0
151,Darlowo,PL,2023-01-13 03:54:52,54.421,16.4107,47.17,90,100,20.8
