City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
179,Polovinnoye,RU,54.7914,65.9864,14.56,82,99,14.92,overcast clouds
180,Nishihara,JP,26.1842,127.7558,69.08,83,40,17.27,scattered clouds
181,Witu,KE,-2.3889,40.4382,80.76,77,10,10.96,clear sky
182,Longyearbyen,SJ,78.2186,15.6401,28.24,80,75,14.97,light snow
183,Gorontalo,ID,0.5412,123.0595,74.75,94,93,3.49,overcast clouds
184,Gouloure,BF,12.2306,-1.9289,87.53,10,43,10.16,scattered clouds
185,San Jeronimo,PE,-11.9472,-75.2829,65.21,36,78,1.03,broken clouds
186,Dauriya,RU,49.9333,116.8667,-30.59,100,21,4.23,few clouds
187,Arman,RU,59.7,150.1667,-13.99,84,100,7.72,overcast clouds
188,Nanortalik,GL,60.1432,-45.2371,14.43,78,25,9.98,scattered clouds
189,Iacobeni,RO,47.4333,25.3167,32.04,88,73,3.47,broken clouds
190,Tuktoyaktuk,CA,69.4541,-133.0374,-13.0,77,75,17.27,broken clouds
191,Viedma,AR,-40.8135,-62.9967,81.36,20,0,14.7,clear sky
192,Garchitorena,PH,13.8804,123.6946,74.21,96,100,10.36,heavy intensity rain
193,Liaozhong,CN,41.5061,122.7242,18.45,35,98,22.95,overcast clouds
194,Luanda,AO,-8.8368,13.2343,80.6,74,75,9.22,broken clouds
195,Hami,CN,42.8,93.45,8.69,58,0,3.71,clear sky
196,Port Macquarie,AU,-31.4333,152.9167,65.89,81,100,6.42,overcast clouds
197,Rzeszow,PL,50.0413,21.999,44.91,82,75,13.8,broken clouds
198,Karratha,AU,-20.7377,116.8463,86.77,54,7,5.17,light rain
199,Naryan-Mar,RU,67.6713,53.087,17.04,94,100,13.15,overcast clouds
200,Namibe,AO,-15.1961,12.1522,75.99,76,100,10.02,overcast clouds
201,Nuuk,GL,64.1835,-51.7216,20.01,63,75,13.8,broken clouds
202,Macaubas,BR,-13.0194,-42.6986,86.49,48,91,2.1,overcast clouds
203,Touros,BR,-5.1989,-35.4608,85.32,63,11,14.5,few clouds
204,Katsuura,JP,35.1333,140.3,60.48,77,100,27.83,light rain
205,Rabo De Peixe,PT,37.8,-25.5833,62.11,94,20,14.97,few clouds
206,Airai,TL,-8.9266,125.4092,61.29,95,100,1.03,overcast clouds
207,Edd,ER,13.9297,41.6925,83.57,45,98,23.15,overcast clouds
208,Balabac,PH,7.9868,117.0645,78.69,79,93,9.57,overcast clouds
209,Hilo,US,19.7297,-155.09,72.28,69,0,9.22,clear sky
210,Segovia,ES,41.1667,-4.0,47.43,80,41,2.75,scattered clouds
211,Roald,NO,62.5833,6.1333,39.33,80,20,8.05,few clouds
212,Williamsburg,US,37.2707,-76.7075,55.72,74,75,10.36,broken clouds
213,Nago,JP,26.5881,127.9761,68.45,78,16,12.57,few clouds
214,Ngunguru,NZ,-35.6167,174.5,64.27,82,90,10.38,overcast clouds
215,Grand Gaube,MU,-20.0064,57.6608,79.2,71,35,5.01,scattered clouds
216,Pacific Grove,US,36.6177,-121.9166,59.07,87,100,7.0,overcast clouds
217,Kalianget,ID,-7.05,113.9333,79.29,78,85,3.29,overcast clouds
218,Coquimbo,CL,-29.9533,-71.3436,69.53,64,20,12.66,few clouds
219,Bintulu,MY,3.1667,113.0333,75.61,100,20,0.0,few clouds
220,Lewiston,US,44.1003,-70.2148,52.14,97,100,1.01,overcast clouds
221,Geraldton,AU,-28.7667,114.6,70.21,78,40,23.02,scattered clouds
222,Avera,US,33.194,-82.5271,54.55,55,25,16.44,scattered clouds
223,Saint Anthony,US,45.0205,-93.218,19.45,89,100,5.75,overcast clouds
224,Oranjemund,NA,-28.55,16.4333,65.37,76,6,19.75,clear sky
225,Camocim,BR,-2.9022,-40.8411,88.27,55,98,18.37,overcast clouds
226,Hovd,MN,48.0056,91.6419,-6.3,73,11,1.66,few clouds
227,Leshukonskoye,RU,64.8989,45.7622,24.26,96,100,8.37,light snow
228,Nakamura,JP,32.9833,132.9333,64.53,96,100,11.92,light rain
229,Dingle,PH,10.9995,122.6711,73.89,94,100,7.0,moderate rain
230,Leningradskiy,RU,69.3833,178.4167,-8.48,99,97,2.46,overcast clouds
231,Cukai,MY,4.25,103.4167,78.75,90,89,2.71,overcast clouds
232,Coos Bay,US,43.3665,-124.2179,52.32,96,100,10.36,overcast clouds
233,Zhaotong,CN,27.3167,103.7167,41.4,80,84,6.53,broken clouds
234,Eureka,US,40.8021,-124.1637,54.21,95,100,3.0,light rain
235,Kruisfontein,ZA,-34.0033,24.7314,70.88,66,8,7.63,clear sky
236,Huarmey,PE,-10.0681,-78.1522,73.9,72,89,9.69,overcast clouds
237,Zeya,RU,53.75,127.2667,-28.93,86,3,5.55,clear sky
238,Bluff,NZ,-46.6,168.3333,51.87,87,17,1.97,few clouds
239,Erenhot,CN,43.6475,111.9767,2.25,49,100,5.14,overcast clouds
240,Kavaratti,IN,10.5669,72.642,80.6,64,100,8.68,overcast clouds
241,Bodden Town,KY,19.2833,-81.25,82.98,68,20,6.91,few clouds
242,Miramar,US,25.9873,-80.2323,79.02,65,0,17.27,clear sky
243,Vagur,FO,61.4732,-6.8119,36.75,66,100,18.25,overcast clouds
244,Sitka,US,57.0531,-135.33,42.69,75,100,6.91,overcast clouds
245,San Cristobal,VE,7.7669,-72.225,75.38,45,72,5.53,broken clouds
246,Kysyl-Syr,RU,63.8986,122.7617,-68.96,100,78,1.5,broken clouds
247,Kintampo,GH,8.0563,-1.7306,92.44,12,46,5.82,scattered clouds
248,Una,IN,20.8167,71.0333,62.98,69,0,9.28,clear sky
249,Black River,JM,18.0264,-77.8487,82.24,61,0,6.22,clear sky
250,College,US,64.8569,-147.8028,3.58,82,100,0.0,overcast clouds
251,Mvomero,TZ,-6.25,38.6667,77.54,79,37,5.26,scattered clouds
252,Tchaourou,BJ,8.8865,2.5975,91.47,13,100,4.41,overcast clouds
253,Ilulissat,GL,69.2167,-51.1,3.22,55,75,13.8,broken clouds
254,Martapura,ID,-3.4167,114.85,75.29,100,70,1.14,broken clouds
255,Kutum,SD,14.2,24.6667,65.48,19,40,9.62,scattered clouds
256,Chapais,CA,49.7834,-74.8492,6.58,90,100,10.69,overcast clouds
257,Boyolangu,ID,-8.1181,111.8935,75.0,84,71,2.64,broken clouds
258,Laguna,US,38.421,-121.4238,64.18,57,40,16.11,scattered clouds
259,Dikson,RU,73.5069,80.5464,-33.2,92,10,7.9,clear sky
260,Poronaysk,RU,49.2167,143.1167,1.98,83,100,12.66,overcast clouds
261,Kabalo,CD,-6.05,26.9167,71.15,85,48,0.92,scattered clouds
262,Dryden,CA,49.7833,-92.7503,7.09,85,100,9.22,overcast clouds
263,Los Llanos De Aridane,ES,28.6585,-17.9182,66.13,62,75,13.8,broken clouds
264,Bereda,ES,43.2686,-7.5406,56.14,91,93,2.75,overcast clouds
265,Hukuntsi,BW,-24.0,21.75,88.07,13,37,14.97,scattered clouds
266,Jumla,NP,29.2747,82.1838,32.86,86,42,5.1,scattered clouds
267,Goure,NE,13.9835,10.2704,71.44,10,40,9.51,scattered clouds
268,Lengshuitan,CN,26.4111,111.5956,60.93,80,23,10.74,few clouds
